Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Trent Alexander-Arnold,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Dingomé,Midfield,4000000.0,5.0,6.0,6.0,562.0,6.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,-68.0,-32.0,0.0,0.0,0.0,0.0,0.0
Troy Deeney,Attack,-1000000.0,1.0,-21.0,-17.0,-1615.0,-18.0,-5.0,-2.0,-7.0,-2.0,-3.0,-5.0,-1.0,-1.0,-2.0,-55.0,-124.0,-0.24,-0.1,-0.34,-0.1,-0.2
Törles Knöll,Attack,13000000.0,8.0,1.0,0.0,10.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Unai Bustinza,Defender,4500000.0,7.0,-3.0,-5.0,-413.0,-4.6,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,5.0,46.0,-6.0,-0.0399999999999999,0.0,-0.0399999999999999,-0.0399999999999999,-0.0399999999999999
Unai Núñez,Defender,-13500000.0,9.0,-18.0,-23.0,-2021.0,-22.500000000000004,-1.0,0.0,-1.0,-1.0,0.0,0.0,-7.0,0.0,1.0,-59.0,11.0,-0.03,0.0,-0.03,-0.03,-0.03
Valentin Eysseric,Attack,4000000.0,0.0,15.0,15.0,1337.0,14.9,6.0,3.0,9.0,5.0,1.0,1.0,1.0,0.0,61.0,59.0,97.0,0.38,0.19,0.57,0.32,0.5
Valentin Rongier,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valentin Rosier,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valentino Lazaro,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
