,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
237,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,30,1987,23,22,1927,21.4,1,1,2,1,0,0,5,0,0.3,0.3,1.5,1.8,27,77,76,0.05,0.05,0.09,0.05,0.09,0.01,0.07,0.08,0.01,0.08,Matches,00a6485f
238,Henri Bedimo,cm CMR,DFFW,Marseille,fr Ligue 1,33,1984,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,Matches,0d57f1c1
239,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,21,1996,5,5,426,4.7,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,0,14,0,0.21,0,0.21,0.21,0.21,0.03,0,0.03,0.03,0.03,Matches,4115ce4e
240,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7b4de647
241,Valon Behrami,ch SUI,MF,Udinese,it Serie A,32,1985,20,18,1398,15.5,1,0,1,1,0,0,5,0,0.5,0.5,0.3,0.8,8,34,9,0.06,0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches,d3d758d8
242,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,13,13,1113,12.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4f8ce0e1
243,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4f8ce0e1
244,Ishak Belfodil,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,26,13,1350,15,4,1,5,4,0,0,1,0,4.7,4.7,2.4,7.1,64,42,155,0.27,0.07,0.33,0.27,0.33,0.31,0.16,0.48,0.31,0.48,Matches,ff182fdc
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,25,1991,25,24,2177,24.2,1,0,1,1,0,0,8,0,1.3,1.3,0.9,2.2,13,58,13,0.04,0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09,Matches,857a5abe
246,Karim Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,27,1990,24,13,1146,12.7,1,3,4,1,0,0,2,0,2.9,2.9,4.3,7.3,62,51,155,0.08,0.24,0.31,0.08,0.31,0.23,0.34,0.57,0.23,0.57,Matches,bee0bab1
247,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,22,1995,35,34,3051,33.9,2,3,5,2,0,0,5,0,2.2,2.2,3.9,6.2,84,134,333,0.06,0.09,0.15,0.06,0.15,0.07,0.12,0.18,0.07,0.18,Matches,f874dd44
248,François Bellugou,fr FRA,MF,Troyes,fr Ligue 1,30,1987,30,27,2177,24.2,0,0,0,0,0,0,6,1,0.1,0.1,0.2,0.3,10,84,13,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,2174bc8d
249,Andrea Belotti,it ITA,FW,Torino,it Serie A,23,1993,32,29,2683,29.8,10,5,15,10,0,2,2,0,10.5,8.9,4.7,13.6,40,39,202,0.34,0.17,0.5,0.34,0.5,0.35,0.16,0.51,0.3,0.46,Matches,d705ba44
250,Chaouki Ben Saada,tn TUN,FWMF,Troyes,fr Ligue 1,33,1984,16,2,342,3.8,0,0,0,0,0,0,3,0,0.3,0.3,1,1.2,13,26,29,0,0,0,0,0,0.07,0.25,0.32,0.07,0.32,Matches,61d618fa
251,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,26,1990,25,18,1700,18.9,9,3,12,9,0,0,2,1,12.3,12.3,2.1,14.4,42,53,138,0.48,0.16,0.64,0.48,0.64,0.65,0.11,0.76,0.65,0.76,Matches,942b4f90
252,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b7e7937d
253,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,25,1992,10,10,811,9,1,1,2,1,0,0,2,0,0.9,0.9,0.3,1.2,17,50,37,0.11,0.11,0.22,0.11,0.22,0.1,0.03,0.13,0.1,0.13,Matches,a128b07e
254,Yohan Benalouane,tn TUN,DF,Leicester City,eng Premier League,30,1987,1,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,4,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,8309b068
255,Marco Benassi,it ITA,MFFW,Fiorentina,it Serie A,22,1994,35,35,2782,30.9,5,3,8,5,0,0,6,0,4,4,3.1,7.2,62,152,191,0.16,0.1,0.26,0.16,0.26,0.13,0.1,0.23,0.13,0.23,Matches,0000acda
256,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,30,1987,20,19,1755,19.5,2,0,2,2,0,0,8,0,2.5,2.5,0,2.5,3,57,3,0.1,0,0.1,0.1,0.1,0.13,0,0.13,0.13,0.13,Matches,3b15ef2d
257,Lars Bender,de GER,DFMF,Leverkusen,de Bundesliga,28,1989,21,20,1595,17.7,2,4,6,2,0,0,5,0,2.1,2.1,2,4,30,115,84,0.11,0.23,0.34,0.11,0.34,0.12,0.11,0.23,0.12,0.23,Matches,c50281a0
258,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,28,1989,29,29,2345,26.1,2,0,2,2,0,0,0,0,1.5,1.5,0.2,1.7,18,110,4,0.08,0,0.08,0.08,0.08,0.06,0.01,0.06,0.06,0.06,Matches,070ec0b1
259,László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,19,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,3,1,0,0,0,0,0,0.06,0.4,0.46,0.06,0.46,Matches,fe888e39
260,Nicolas Benezet,fr FRA,FWMF,Guingamp,fr Ligue 1,26,1991,29,18,1648,18.3,3,3,6,3,0,0,2,0,2.5,2.5,3.3,5.8,92,109,174,0.16,0.16,0.33,0.16,0.33,0.14,0.18,0.32,0.14,0.32,Matches,30395d3b
261,Marcel Benger,de GER,MF,M'Gladbach,de Bundesliga,19,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,379c0717
