,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
601,Danilo,br BRA,DF,Manchester City,eng Premier League,26,1991,23,13,1349,15,3,2,5,3,0,0,2,0,1.1,1.1,0.2,1.3,40,89,74,0.2,0.13,0.33,0.2,0.33,0.07,0.01,0.09,0.07,0.09,Matches,94b2001f
602,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,30,1987,17,16,1435,15.9,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,7,42,3,0.06,0,0.06,0.06,0.06,0.14,0.01,0.16,0.14,0.16,Matches,52105203
603,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,18,1998,16,13,1105,12.3,2,0,2,2,0,0,2,0,1.8,1.8,0.4,2.3,9,36,4,0.16,0,0.16,0.16,0.16,0.15,0.03,0.18,0.15,0.18,Matches,6e33125f
604,Dante,br BRA,DF,Nice,fr Ligue 1,33,1983,33,33,2919,32.4,1,0,1,1,0,0,10,1,2.4,2.4,0.8,3.2,8,93,3,0.03,0,0.03,0.03,0.03,0.07,0.03,0.1,0.07,0.1,Matches,fd2bc67d
605,Romain Danzé,fr FRA,DF,Rennes,fr Ligue 1,31,1986,12,9,681,7.6,0,0,0,0,0,0,2,0,0,0,0.1,0.1,5,33,30,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,a5876fca
606,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,18,1999,5,4,393,4.4,0,0,0,0,0,0,1,0,0,0,0,0,2,16,4,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,263b855a
607,Stéphane Darbion,fr FRA,FWMF,Troyes,fr Ligue 1,33,1984,23,20,1706,19,3,2,5,3,0,0,2,0,2.6,2.6,2.7,5.3,53,82,146,0.16,0.11,0.26,0.16,0.26,0.14,0.14,0.28,0.14,0.28,Matches,75d97aa6
608,Palkó Dárdai,hu HUN,FWMF,Hertha BSC,de Bundesliga,18,1999,2,0,27,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Matches,db7161ed
609,Sergi Darder,es ESP,MF,Espanyol,es La Liga,23,1993,35,32,2782,30.9,1,2,3,1,0,0,7,0,1.1,1.1,2.4,3.5,32,191,32,0.03,0.06,0.1,0.03,0.1,0.04,0.08,0.11,0.04,0.11,Matches,070a3904
610,Sergi Darder,es ESP,MF,Lyon,fr Ligue 1,23,1993,3,3,209,2.3,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,0,15,3,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07,Matches,070a3904
611,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,26,1990,21,18,1635,18.2,0,3,3,0,0,0,2,0,1,1,1.9,2.9,33,108,76,0,0.17,0.17,0,0.17,0.06,0.11,0.16,0.06,0.16,Matches,3eb0f2df
612,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cde3309f
613,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,27,1989,8,5,444,4.9,0,0,0,0,0,0,0,0,0,0,0,0.1,7,16,10,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches,96e0490d
614,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,24,1993,29,26,2324,25.8,2,6,8,2,0,0,3,0,1.1,1.1,3.2,4.3,73,165,178,0.08,0.23,0.31,0.08,0.31,0.04,0.12,0.16,0.04,0.16,Matches,44781702
615,Tom Davies,eng ENG,MF,Everton,eng Premier League,19,1998,33,20,1900,21.1,2,1,3,2,0,0,7,0,1.5,1.5,0.6,2.1,36,62,70,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.1,0.07,0.1,Matches,9228b07c
616,Steven Davis,nir NIR,MF,Southampton,eng Premier League,32,1985,23,17,1521,16.9,3,0,3,3,0,0,0,0,0.9,0.9,1.1,2,23,129,56,0.18,0,0.18,0.18,0.18,0.05,0.07,0.12,0.05,0.12,Matches,cf15bbb1
617,Salem Al-Dawsari,sa KSA,MF,Villarreal,es La Liga,25,1991,1,0,34,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,60ee859c
618,Craig Dawson,eng ENG,DF,West Brom,eng Premier League,27,1990,28,28,2510,27.9,2,0,2,2,0,0,6,0,2.3,2.3,1.2,3.5,18,83,20,0.07,0,0.07,0.07,0.07,0.08,0.04,0.13,0.08,0.13,Matches,3e9e06cb
619,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,26,1991,37,36,3073,34.1,8,16,24,8,0,0,2,0,5.1,5.1,11.1,16.2,183,388,259,0.23,0.47,0.7,0.23,0.7,0.15,0.32,0.48,0.15,0.48,Matches,e46012d4
620,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,30,1987,26,22,2053,22.8,2,0,2,2,0,0,7,0,1.2,1.2,0.4,1.7,19,71,7,0.09,0,0.09,0.09,0.09,0.05,0.02,0.07,0.05,0.07,Matches,952a03fe
621,Rodrigo De Paul,ar ARG,FWMF,Udinese,it Serie A,23,1994,37,25,2319,25.8,4,8,12,0,4,4,4,0,6.3,3.2,7.6,10.8,108,145,211,0.16,0.31,0.47,0,0.31,0.24,0.29,0.54,0.12,0.42,Matches,162efffd
622,Daniele De Rossi,it ITA,MF,Roma,it Serie A,34,1983,22,21,1829,20.3,1,1,2,1,0,0,6,1,0.8,0.8,1.9,2.6,20,156,8,0.05,0.05,0.1,0.05,0.1,0.04,0.09,0.13,0.04,0.13,Matches,532d2690
623,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,24,1992,12,10,968,10.8,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,23,59,46,0.09,0,0.09,0.09,0.09,0.01,0.02,0.04,0.01,0.04,Matches,ae4e2852
624,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,29,1988,35,35,2955,32.8,5,2,7,5,0,0,3,2,3.1,3.1,1.7,4.8,79,135,79,0.15,0.06,0.21,0.15,0.21,0.1,0.05,0.15,0.1,0.15,Matches,e74f0e59
625,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,28,1988,26,24,1943,21.6,2,1,3,2,0,0,7,1,2.2,2.2,1.6,3.8,33,144,66,0.09,0.05,0.14,0.09,0.14,0.1,0.08,0.18,0.1,0.18,Matches,44f8c299
626,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,15,15,1314,14.6,4,0,4,4,0,0,1,0,2.7,2.7,1.2,3.9,23,59,88,0.27,0,0.27,0.27,0.27,0.18,0.08,0.27,0.18,0.27,Matches,92232aad
627,Troy Deeney,eng ENG,FW,Watford,eng Premier League,29,1988,29,20,1844,20.5,5,2,7,2,3,5,1,1,6.9,2.8,2.8,5.7,3,71,126,0.24,0.1,0.34,0.1,0.2,0.33,0.14,0.47,0.14,0.28,Matches,82e34b69
628,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,34,1982,24,11,1088,12.1,4,1,5,4,0,0,1,0,3.5,3.5,1.1,4.6,9,10,59,0.33,0.08,0.41,0.33,0.41,0.29,0.09,0.38,0.29,0.38,Matches,f1e8372d
629,Steven Defour,be BEL,MF,Burnley,eng Premier League,29,1988,24,24,1997,22.2,1,1,2,1,0,0,6,0,0.8,0.8,1.1,1.9,38,117,30,0.05,0.05,0.09,0.05,0.09,0.03,0.05,0.09,0.03,0.09,Matches,73489527
630,Grégoire Defrel,mq MTQ,FWMF,Roma,it Serie A,26,1991,15,5,485,5.4,1,0,1,0,1,1,1,0,2.3,1.5,0.5,2,13,11,35,0.19,0,0.19,0,0,0.42,0.1,0.52,0.27,0.37,Matches,854ee61a
631,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,21,1995,13,4,449,5,0,0,0,0,0,0,3,0,0.9,0.9,0.2,1.1,2,13,23,0,0,0,0,0,0.18,0.03,0.21,0.18,0.21,Matches,7f267d66
632,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,27,1990,15,7,760,8.4,0,0,0,0,0,0,6,0,0.2,0.2,0.2,0.4,4,26,11,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,081b6080
633,Damien Delaney,ie IRL,DF,Crystal Palace,eng Premier League,36,1981,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,210d9ecb
634,Thomas Delaney,dk DEN,MF,Werder Bremen,de Bundesliga,25,1991,32,31,2796,31.1,3,4,7,3,0,0,5,0,3.4,3.4,2.8,6.2,27,145,96,0.1,0.13,0.23,0.1,0.23,0.11,0.09,0.2,0.11,0.2,Matches,fe641c1a
635,Jonathan Delaplace,fr FRA,MF,Caen,fr Ligue 1,31,1986,12,5,583,6.5,0,1,1,0,0,0,3,0,0.4,0.4,0.6,0.9,6,28,12,0,0.15,0.15,0,0.15,0.06,0.09,0.15,0.06,0.15,Matches,79685569
636,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,23,1994,8,5,421,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,12,2,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches,b0243215
637,Andy Delort,dz ALG,FW,Toulouse,fr Ligue 1,25,1991,32,25,2333,25.9,5,5,10,4,1,2,5,0,9,7.4,5.1,12.5,28,62,240,0.19,0.19,0.39,0.15,0.35,0.35,0.2,0.54,0.29,0.48,Matches,d33c706e
638,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,27,1989,22,21,1741,19.3,1,2,3,1,0,0,2,0,0.3,0.3,1.2,1.5,53,132,63,0.05,0.1,0.16,0.05,0.16,0.01,0.06,0.08,0.01,0.08,Matches,111c3236
639,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,30,1987,28,21,1879,20.9,0,0,0,0,0,0,6,0,0.4,0.4,0.7,1.1,66,211,26,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,f7ee69fb
640,Ousmane Dembélé,fr FRA,FWMF,Barcelona,es La Liga,20,1997,17,12,925,10.3,3,6,9,3,0,0,2,0,2.1,2.1,3.7,5.8,68,55,131,0.29,0.58,0.88,0.29,0.88,0.2,0.36,0.56,0.2,0.56,Matches,b19db005
641,Jessy Deminguet,fr FRA,MFFW,Caen,fr Ligue 1,19,1998,12,5,534,5.9,1,1,2,1,0,0,2,0,0.3,0.3,0.9,1.2,23,15,47,0.17,0.17,0.34,0.17,0.34,0.06,0.15,0.2,0.06,0.2,Matches,a6138e4a
642,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,24,1993,19,13,1211,13.5,2,2,4,1,1,1,3,0,2.2,1.4,2.2,3.6,26,76,43,0.15,0.15,0.3,0.07,0.22,0.16,0.17,0.33,0.1,0.27,Matches,54b4dc4e
643,Ermedin Demirović,ba BIH,FW,Alavés,es La Liga,19,1998,3,2,182,2,1,1,2,1,0,0,0,0,1.7,1.7,0,1.8,2,1,11,0.49,0.49,0.99,0.49,0.99,0.86,0.02,0.89,0.86,0.89,Matches,ed79b7d3
644,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,25,1991,30,25,2284,25.4,0,3,3,0,0,0,4,0,0.5,0.5,2.2,2.7,60,250,41,0,0.12,0.12,0,0.12,0.02,0.09,0.1,0.02,0.1,Matches,dc3fa3b5
645,Fabio Depaoli,it ITA,DFMF,Chievo,it Serie A,20,1997,19,13,1192,13.2,0,0,0,0,0,0,4,0,0.2,0.2,0.8,1.1,16,33,38,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches,d97f2e8d
646,Mathieu Deplagne,fr FRA,DF,Troyes,fr Ligue 1,25,1991,28,28,2410,26.8,0,2,2,0,0,0,5,1,0.2,0.2,1.4,1.6,49,115,83,0,0.07,0.07,0,0.07,0.01,0.05,0.06,0.01,0.06,Matches,ff16ecad
647,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,28,1988,33,18,1820,20.2,6,1,7,6,0,0,1,0,3.7,3.7,1.4,5.1,11,21,89,0.3,0.05,0.35,0.3,0.35,0.18,0.07,0.25,0.18,0.25,Matches,aa5859cb
648,Mike van der Hoorn,nl NED,DF,Swansea City,eng Premier League,24,1992,24,24,1944,21.6,1,0,1,1,0,0,4,0,1,1,0.6,1.6,8,41,5,0.05,0,0.05,0.05,0.05,0.05,0.03,0.07,0.05,0.07,Matches,25f50295
649,Gregory van der Wiel,nl NED,DF,Cagliari,it Serie A,29,1988,5,3,288,3.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,12,9,0,0,0,0,0,0.01,0.02,0.02,0.01,0.02,Matches,2fb3ad46
650,Daniele Dessena,it ITA,MFDF,Cagliari,it Serie A,30,1987,17,7,573,6.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,16,22,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,02b2937c
651,Mattia Destro,it ITA,FW,Bologna,it Serie A,26,1991,26,19,1617,18,6,2,8,6,0,0,3,0,7.6,7.6,1.4,8.9,19,27,96,0.33,0.11,0.45,0.33,0.45,0.42,0.08,0.5,0.42,0.5,Matches,d7d32194
652,Gerard Deulofeu,es ESP,FWMF,Watford,eng Premier League,23,1994,7,5,435,4.8,1,0,1,1,0,0,0,0,0.5,0.5,0.6,1.1,23,13,32,0.21,0,0.21,0.21,0.21,0.11,0.13,0.24,0.11,0.24,Matches,39583cfd
653,Gerard Deulofeu,es ESP,MFFW,Barcelona,es La Liga,23,1994,10,5,503,5.6,1,1,2,1,0,0,1,0,1.2,1.2,1.5,2.7,32,14,84,0.18,0.18,0.36,0.18,0.36,0.22,0.27,0.49,0.22,0.49,Matches,39583cfd
654,Gianluca Di Chiara,it ITA,DF,Benevento,it Serie A,23,1993,13,11,1007,11.2,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,22,50,23,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches,68852c0a
655,Federico Di Francesco,it ITA,FWDF,Bologna,it Serie A,23,1994,24,20,1591,17.7,1,1,2,1,0,0,4,0,1.7,1.7,1.4,3.2,38,24,136,0.06,0.06,0.11,0.06,0.11,0.1,0.08,0.18,0.1,0.18,Matches,1fca9171
656,Davide Di Gennaro,it ITA,MF,Lazio,it Serie A,29,1988,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,951a4ee4
657,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,29,1988,30,26,2111,23.5,11,6,17,11,0,0,1,0,12.1,12.1,7.8,19.9,95,128,287,0.47,0.26,0.72,0.47,0.72,0.51,0.33,0.85,0.51,0.85,Matches,19cda00b
658,Franco Di Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,28,1989,30,22,1654,18.4,3,1,4,2,1,1,4,0,3.8,3,1.7,4.7,39,31,132,0.16,0.05,0.22,0.11,0.16,0.21,0.09,0.3,0.16,0.25,Matches,549c6ba7
659,Cheick Diabaté,ml MLI,FW,Benevento,it Serie A,29,1988,11,7,664,7.4,8,0,8,8,0,0,1,2,5,5,0.1,5.1,5,8,28,1.08,0,1.08,1.08,1.08,0.68,0.02,0.69,0.68,0.69,Matches,95cfe655
660,Fousseni Diabaté,ml MLI,MFFW,Leicester City,eng Premier League,21,1995,14,5,587,6.5,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.9,26,18,56,0,0.15,0.15,0,0.15,0.08,0.05,0.13,0.08,0.13,Matches,d07e3b41
661,Moussa Diaby,fr FRA,MF,Crotone,it Serie A,18,1999,2,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Matches,aeed5c06
662,Fallou Diagne,sn SEN,DFMF,Metz,fr Ligue 1,27,1989,29,26,2238,24.9,1,1,2,1,0,0,8,2,0.8,0.8,0.4,1.1,7,62,12,0.04,0.04,0.08,0.04,0.08,0.03,0.01,0.05,0.03,0.05,Matches,cd387ff4
663,Adama Diakhaby,fr FRA,FW,Monaco,fr Ligue 1,21,1996,22,10,850,9.4,2,3,5,2,0,0,2,1,2.2,2.2,0.6,2.9,26,7,82,0.21,0.32,0.53,0.21,0.53,0.24,0.07,0.3,0.24,0.3,Matches,65585e3a
664,Mouctar Diakhaby,gn GUI,DF,Lyon,fr Ligue 1,20,1996,12,8,728,8.1,1,0,1,1,0,0,2,0,0.5,0.5,0,0.5,6,17,0,0.12,0,0.12,0.12,0.12,0.06,0,0.06,0.06,0.06,Matches,d2110326
665,Abdou Diallo,sn SEN,DF,Mainz 05,de Bundesliga,21,1996,27,27,2415,26.8,2,1,3,2,0,0,5,0,2.3,2.3,0.2,2.5,30,100,24,0.07,0.04,0.11,0.07,0.11,0.09,0.01,0.09,0.09,0.09,Matches,fc62f087
666,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,26383ea5
667,Habib Diallo,sn SEN,FWMF,Metz,fr Ligue 1,22,1995,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,6605d143
668,Mustapha Diallo,sn SEN,MF,Guingamp,fr Ligue 1,31,1986,26,16,1384,15.4,5,0,5,5,0,0,6,0,4.4,4.4,0.3,4.7,8,52,20,0.33,0,0.33,0.33,0.33,0.28,0.02,0.31,0.28,0.31,Matches,6c6ecdd4
669,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,30,1987,31,23,2041,22.7,2,0,2,2,0,0,3,0,1.4,1.4,0.7,2.1,25,81,22,0.09,0,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,Matches,b7d082af
670,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,32,1985,10,8,606,6.7,0,1,1,0,0,0,4,0,0,0,0.2,0.2,14,39,7,0,0.15,0.15,0,0.15,0,0.03,0.03,0,0.03,Matches,79584585
671,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,20,1997,18,5,655,7.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,2,51,0,0.14,0,0.14,0.14,0.14,0.02,0.03,0.05,0.02,0.05,Matches,bf309d24
672,Brahim Díaz,es ESP,FWDF,Manchester City,eng Premier League,17,1999,5,0,55,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,3,0,15,0,0,0,0,0,0.79,0,0.79,0.79,0.79,Matches,407feb71
673,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,27,1989,32,31,2778,30.9,1,1,2,1,0,0,4,0,1.2,1.2,0.7,1.9,48,87,48,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Matches,247accfd
674,Daniel Didavi,de GER,MF,Wolfsburg,de Bundesliga,27,1990,30,26,2237,24.9,9,5,14,9,0,0,4,0,4.1,4.1,2.6,6.7,54,122,162,0.36,0.2,0.56,0.36,0.56,0.16,0.1,0.27,0.16,0.27,Matches,d3096421
675,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,a3d524cb
676,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,34,1983,23,21,1621,18,2,1,3,2,0,0,4,0,0.7,0.7,1.2,1.9,14,98,26,0.11,0.06,0.17,0.11,0.17,0.04,0.07,0.11,0.04,0.11,Matches,d2aa8ac0
677,Adrián Diéguez,es ESP,DF,Alavés,es La Liga,21,1996,6,6,435,4.8,0,0,0,0,0,0,5,0,0.1,0.1,0,0.1,10,11,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,70438d35
678,Dennis Diekmeier,de GER,DF,Hamburger SV,de Bundesliga,27,1989,22,22,1868,20.8,0,3,3,0,0,0,4,0,0.6,0.6,2,2.6,47,79,103,0,0.14,0.14,0,0.14,0.03,0.1,0.13,0.03,0.13,Matches,6873f3bc
679,Eric Dier,eng ENG,MFDF,Tottenham,eng Premier League,23,1994,34,32,2824,31.4,0,2,2,0,0,0,4,0,2,2,1.7,3.7,35,213,29,0,0.06,0.06,0,0.06,0.06,0.05,0.12,0.06,0.12,Matches,ac861941
680,Lucas Digne,fr FRA,DF,Barcelona,es La Liga,24,1993,12,8,704,7.8,0,2,2,0,0,0,2,0,0.3,0.3,1.8,2.1,22,36,77,0,0.26,0.26,0,0.26,0.04,0.23,0.27,0.04,0.27,Matches,1b84dbe1
681,Landry Dimata,be BEL,FW,Wolfsburg,de Bundesliga,19,1997,21,9,902,10,0,1,1,0,0,0,1,1,1.5,1.5,0.3,1.8,15,12,64,0,0.1,0.1,0,0.1,0.15,0.03,0.18,0.15,0.18,Matches,b5f63410
682,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,26,1991,14,14,1192,13.2,0,0,0,0,0,0,4,0,0.2,0.2,1.3,1.5,12,68,32,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11,Matches,92b56413
683,Ismaël Diomandé,ci CIV,DFMF,Caen,fr Ligue 1,24,1992,11,8,712,7.9,0,1,1,0,0,0,1,1,0.1,0.1,0.5,0.6,9,27,0,0,0.13,0.13,0,0.13,0.01,0.06,0.07,0.01,0.07,Matches,10650926
684,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1992,16,11,931,10.3,0,0,0,0,0,0,0,0,1.6,1.6,0.3,1.8,11,13,81,0,0,0,0,0,0.15,0.03,0.18,0.15,0.18,Matches,4be0b467
685,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,34,34,3060,34,3,0,3,3,0,0,8,0,2,2,0.6,2.7,14,106,1,0.09,0,0.09,0.09,0.09,0.06,0.02,0.08,0.06,0.08,Matches,a712ca2b
686,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,31,1986,5,3,264,2.9,0,0,0,0,0,0,2,0,0,0,0,0.1,1,9,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,7329018e
687,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,31,1986,15,12,940,10.4,0,0,0,0,0,0,5,0,1,1,0.2,1.2,7,65,16,0,0,0,0,0,0.09,0.02,0.11,0.09,0.11,Matches,7329018e
688,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,19,1997,25,17,1344,14.9,1,0,1,1,0,0,4,0,0.8,0.8,0.6,1.4,14,93,26,0.07,0,0.07,0.07,0.07,0.06,0.04,0.09,0.06,0.09,Matches,7f622eef
689,Djené,tg TOG,DF,Getafe,es La Liga,25,1991,36,36,3239,36,1,0,1,1,0,0,9,0,0.7,0.7,0.2,0.9,17,60,15,0.03,0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,Matches,a4971d84
690,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,24,1992,29,27,2416,26.8,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,18,60,24,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,933d3b51
691,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,22,1994,28,28,2520,28,0,0,0,0,0,0,10,0,1.6,1.6,0.1,1.7,21,123,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,43e7a164
692,Papy Djilobodji,sn SEN,DF,Dijon,fr Ligue 1,28,1988,30,30,2699,30,0,1,1,0,0,0,4,1,1.4,1.4,0.5,1.9,16,122,3,0,0.03,0.03,0,0.03,0.05,0.02,0.06,0.05,0.06,Matches,8.35E+09
693,Berat Djimsiti,al ALB,DF,Benevento,it Serie A,24,1993,30,30,2700,30,0,1,1,0,0,0,2,0,1,1,0.6,1.7,26,90,1,0,0.03,0.03,0,0.03,0.03,0.02,0.06,0.03,0.06,Matches,6eee05f1
694,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36,36,3240,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,ac295d9e
695,Keagan Dolly,za RSA,MFFW,Montpellier,fr Ligue 1,24,1993,17,9,881,9.8,1,2,3,1,0,0,1,0,1.7,1.7,1.6,3.3,31,46,97,0.1,0.2,0.31,0.1,0.31,0.17,0.16,0.33,0.17,0.33,Matches,ccb1c3af
696,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5,5,450,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c9cb972b
697,Jean-Luc Dompé,fr FRA,FW,Amiens,fr Ligue 1,21,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,0,2,0,0,0,0,0,0.16,0.27,0.43,0.16,0.43,Matches,9ffdf29a
698,Giulio Donati,it ITA,DFFW,Mainz 05,de Bundesliga,27,1990,29,26,2284,25.4,0,3,3,0,0,0,3,2,0.3,0.3,1.4,1.8,28,65,80,0,0.12,0.12,0,0.12,0.01,0.06,0.07,0.01,0.07,Matches,22051fbe
699,Ji Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,26,1991,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,7d841904
700,Anastasios Donis,gr GRE,MFFW,Stuttgart,de Bundesliga,20,1996,18,11,949,10.5,2,2,4,2,0,0,1,0,4.4,4.4,2.2,6.7,60,13,50,0.19,0.19,0.38,0.19,0.38,0.42,0.21,0.63,0.42,0.63,Matches,0f26fd24
701,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,08f5afaa
702,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,21,1996,28,20,1794,19.9,2,1,3,2,0,0,3,0,1.3,1.3,1.5,2.8,49,70,51,0.1,0.05,0.15,0.1,0.15,0.06,0.07,0.14,0.06,0.14,Matches,384dd218
703,Dória,br BRA,DF,Marseille,fr Ligue 1,22,1994,3,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,Matches,d28b4a9d
704,Niklas Dorsch,de GER,MF,Bayern Munich,de Bundesliga,19,1998,1,1,90,1,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,0,6,1,1,0,1,1,1,0.41,0.03,0.45,0.41,0.45,Matches,7f73bdf4
705,Gabriel Dos Santos,br BRA,DF,Troyes,fr Ligue 1,19,1997,1,0,84,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches,67ac5bb8
