,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0,0,0.4,0.4,3,8,8,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.2,0.07,0.2,Matches,5f09991f
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,1c529186
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches,2590ddf7
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0,0,0,0,0,0.04,0,0.05,0.04,0.05,Matches,32c2d95f
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0,0.13,0.09,0.09,0.13,0.07,0.2,0.1,0.17,Matches,a4c3f7af
7,Charles Abi,fr FRA,DFFW,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,0,0,0,0,0,0,0.17,0.12,0.29,0.17,0.29,Matches,469d3d84
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0,0,0,0,0,0.05,0.03,0.07,0.05,0.07,Matches,565bf0da
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,1c08a3c8
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,Matches,b96b595c
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13,Matches,d7403bd5
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8,0,2,2,0,0,0,0,0,0.1,0.1,1,1.1,19,64,12,0,0.25,0.25,0,0.25,0.01,0.13,0.13,0.01,0.13,Matches,2b09d998
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
14,Aday,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0,0.28,0.28,0,0.28,0.04,0.21,0.25,0.04,0.25,Matches,5890cef1
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,16714a62
16,Claud Adjapong,it ITA,MFFW,Sassuolo,it Serie A,20,1998,5,3,270,3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26,Matches,ce5b170a
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0,0,0.8,0.8,13,17,17,0,0,0,0,0,0.01,0.34,0.34,0.01,0.34,Matches,26777636
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0,0,0,0,0,0.13,0.06,0.2,0.13,0.2,Matches,6050480
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0,0.19,0,0,0.32,0.07,0.38,0.17,0.23,Matches,2.93E+06
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13,Matches,cacadf4f
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,0,4,0,0,0,0.5,0.5,36,89,56,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,355c883a
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14,Matches,288e1e13
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5,21.5,81,76,253,0.77,0.29,1.06,0.7,0.99,0.66,0.18,0.85,0.6,0.79,Matches,4d034881
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12,Matches,3dd738a1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,8,21,2,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches,18dc8533
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,5,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches,fe0b8f0e
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0,0.08,0.08,0,0.08,0.07,0.05,0.12,0.07,0.12,Matches,48b28bfd
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,Matches,54507986
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,30,22,2160,24,1,3,4,1,0,0,5,1,1.4,1.4,2.5,4,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17,Matches,246d153b
